Eyes_Colour,Lips_Texture,Lips_Thickness,Lips_Color,Face_Color,Face_Texture,Skin_Color,Hair_Color,Hair_Texture,Forehead_Size,Appetite,Meal_Skip_Response,Stool_Consistency,Sleep,Work_Capacity,Excitement_Response,Working_Style,Body_Movements,Strength,Problem_Handling,Control_on_Desires,Concentration,Grasping_Power,Storage,Memory,Prakriti_Label
1,0,1,2,1,1,2,1,2,1,0,2,2,1,1,0,1,1,1,1,0,1,2,1,2,4
1,1,1,2,1,2,2,1,2,1,0,2,1,0,1,0,0,1,0,0,2,1,2,2,2,3
1,1,1,2,0,1,1,0,2,1,2,2,1,0,1,2,1,1,1,0,2,1,2,1,1,4
1,2,1,1,1,1,1,0,1,1,1,2,1,0,1,0,1,1,1,1,1,0,0,1,1,3
1,0,1,0,0,1,1,1,0,1,0,2,1,2,1,1,2,1,1,1,1,1,2,1,1,3
0,1,1,1,0,1,0,1,2,1,0,1,1,0,1,1,0,2,2,1,2,2,2,2,2,6
0,2,1,2,2,1,0,1,2,0,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,3
1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,5
1,1,0,2,0,1,2,1,0,1,0,2,2,1,1,0,1,1,2,1,1,1,2,1,2,1
0,1,1,2,0,1,2,1,2,1,1,2,2,1,1,0,1,1,2,2,1,2,0,2,2,4
0,1,1,1,1,1,1,0,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,3
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,3
1,1,1,2,2,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
0,1,1,2,2,1,0,0,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,2,4
1,2,1,2,1,2,2,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,2,1,1,4
1,1,0,2,2,2,2,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,2,1,1,4
1,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,2,1,1,1
1,1,1,2,2,1,2,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,2,1,1,3
2,0,2,0,0,1,2,0,0,1,2,2,1,2,2,2,2,2,1,1,0,1,0,2,2,5
1,1,1,1,1,1,2,0,0,1,1,2,1,0,2,1,0,1,2,1,1,1,2,2,2,4
1,0,1,1,0,1,1,2,2,1,0,0,1,1,1,0,1,1,2,2,0,2,1,1,2,3
1,1,1,1,1,2,2,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
0,0,1,2,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,3
0,2,1,2,2,1,2,0,0,2,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,3
